unix_ts,type,longitude,latitude,message
1582073227,Vehicle breakdown,103.7523892,1.38915199,(19/2)8:42 Vehicle breakdown on KJE (towards BKE) after Woodlands Rd Exit. Avoid lane 4.
1582073227,Vehicle breakdown,103.7707477,1.333207086,(19/2)8:23 Vehicle breakdown on PIE (towards Changi Airport) before Upper Bukit Timah Rd.
1582073347,Vehicle breakdown,103.7523892,1.38915199,(19/2)8:42 Vehicle breakdown on KJE (towards BKE) after Woodlands Rd Exit. Avoid lane 4.
1582073347,Vehicle breakdown,103.7707477,1.333207086,(19/2)8:23 Vehicle breakdown on PIE (towards Changi Airport) before Upper Bukit Timah Rd.
1582073467,Vehicle breakdown,103.7523892,1.38915199,(19/2)8:42 Vehicle breakdown on KJE (towards BKE) after Woodlands Rd Exit. Avoid lane 4.
1582073587,Vehicle breakdown,103.7523892,1.38915199,(19/2)8:42 Vehicle breakdown on KJE (towards BKE) after Woodlands Rd Exit. Avoid lane 4.
1582073707,Vehicle breakdown,103.7523892,1.38915199,(19/2)8:42 Vehicle breakdown on KJE (towards BKE) after Woodlands Rd Exit. Avoid lane 4.
1582073827,Vehicle breakdown,103.7523892,1.38915199,(19/2)8:42 Vehicle breakdown on KJE (towards BKE) after Woodlands Rd Exit. Avoid lane 4.
1582073947,Accident,103.8825132,1.321275653,(19/2)8:55 Accident on PIE (towards Changi Airport) before Paya Lebar Rd. Avoid lane 1.
1582073947,Vehicle breakdown,103.7523892,1.38915199,(19/2)8:42 Vehicle breakdown on KJE (towards BKE) after Woodlands Rd Exit. Avoid lane 4.
1582074067,Accident,103.8825132,1.321275653,(19/2)8:55 Accident on PIE (towards Changi Airport) before Paya Lebar Rd. Avoid lane 1.
1582074067,Accident,103.5817518,1.016264255,(19/2)8:55 Accident on KPE (towards ECP) at Airport Road Entrance.
1582074067,Vehicle breakdown,103.7523892,1.38915199,(19/2)8:42 Vehicle breakdown on KJE (towards BKE) after Woodlands Rd Exit. Avoid lane 4.
1582074187,Vehicle breakdown,103.8505718,1.273562412,(19/2)9:01 Vehicle breakdown on MCE (towards AYE) after Maxwell Rd Exit.
1582074187,Accident,103.8825132,1.321275653,(19/2)8:55 Accident on PIE (towards Changi Airport) before Paya Lebar Rd. Avoid lane 1.
1582074187,Vehicle breakdown,103.7523892,1.38915199,(19/2)8:42 Vehicle breakdown on KJE (towards BKE) after Woodlands Rd Exit. Avoid lane 4.
1582074307,Vehicle breakdown,103.927609,1.306534837,(19/2)9:02 Vehicle breakdown on ECP (towards City) before Still Rd Sth Exit.
1582074307,Vehicle breakdown,103.8505718,1.273562412,(19/2)9:01 Vehicle breakdown on MCE (towards AYE) after Maxwell Rd Exit.
1582074307,Accident,103.8826876,1.321283879,(19/2)8:56 Accident on PIE (towards Tuas) before KPE Exit. Avoid lane 1.
1582074307,Vehicle breakdown,103.7523892,1.38915199,(19/2)8:42 Vehicle breakdown on KJE (towards BKE) after Woodlands Rd Exit. Avoid lane 4.
1582074427,Vehicle breakdown,103.927609,1.306534837,(19/2)9:02 Vehicle breakdown on ECP (towards City) before Still Rd Sth Exit.
1582074427,Vehicle breakdown,103.8505718,1.273562412,(19/2)9:01 Vehicle breakdown on MCE (towards AYE) after Maxwell Rd Exit.
1582074427,Accident,103.8826876,1.321283879,(19/2)8:56 Accident on PIE (towards Tuas) before KPE Exit. Avoid lane 1.
1582074427,Vehicle breakdown,103.7523892,1.38915199,(19/2)8:42 Vehicle breakdown on KJE (towards BKE) after Woodlands Rd Exit. Avoid lane 4.
1582074547,Vehicle breakdown,103.927609,1.306534837,(19/2)9:02 Vehicle breakdown on ECP (towards City) before Still Rd Sth Exit.
1582074547,Vehicle breakdown,103.7523892,1.38915199,(19/2)8:42 Vehicle breakdown on KJE (towards BKE) after Woodlands Rd Exit. Avoid lane 4.
1582074667,Vehicle breakdown,103.927609,1.306534837,(19/2)9:02 Vehicle breakdown on ECP (towards City) before Still Rd Sth Exit.
1582074667,Vehicle breakdown,103.7523892,1.38915199,(19/2)8:42 Vehicle breakdown on KJE (towards BKE) after Woodlands Rd Exit. Avoid lane 4.
1582074787,Vehicle breakdown,103.927609,1.306534837,(19/2)9:02 Vehicle breakdown on ECP (towards City) before Still Rd Sth Exit.
1582074787,Vehicle breakdown,103.7523892,1.38915199,(19/2)8:42 Vehicle breakdown on KJE (towards BKE) after Woodlands Rd Exit. Avoid lane 4.
1582074907,Vehicle breakdown,103.7523892,1.38915199,(19/2)8:42 Vehicle breakdown on KJE (towards BKE) after Woodlands Rd Exit. Avoid lane 4.
1582075027,Vehicle breakdown,103.7523892,1.38915199,(19/2)8:42 Vehicle breakdown on KJE (towards BKE) after Woodlands Rd Exit. Avoid lane 4.
1582075147,Vehicle breakdown,103.7523892,1.38915199,(19/2)8:42 Vehicle breakdown on KJE (towards BKE) after Woodlands Rd Exit. Avoid lane 4.
1582075267,Vehicle breakdown,103.7523892,1.38915199,(19/2)8:42 Vehicle breakdown on KJE (towards BKE) after Woodlands Rd Exit. Avoid lane 4.
1582075387,Accident,103.8447333,1.376885937,(19/2)9:20 Accident on Ang Mo Kio Avenue 6 (towards Ang Mo Kio Avenue 5) after Ang Mo Kio Central 2.
1582075387,Vehicle breakdown,103.7523892,1.38915199,(19/2)8:42 Vehicle breakdown on KJE (towards BKE) after Woodlands Rd Exit. Avoid lane 4.
1582075507,Accident,103.8447333,1.376885937,(19/2)9:20 Accident on Ang Mo Kio Avenue 6 (towards Ang Mo Kio Avenue 5) after Ang Mo Kio Central 2.
1582075507,Vehicle breakdown,103.7523892,1.38915199,(19/2)8:42 Vehicle breakdown on KJE (towards BKE) after Woodlands Rd Exit. Avoid lane 4.
1582075627,Accident,103.8447333,1.376885937,(19/2)9:20 Accident on Ang Mo Kio Avenue 6 (towards Ang Mo Kio Avenue 5) after Ang Mo Kio Central 2.
1582075627,Vehicle breakdown,103.7523892,1.38915199,(19/2)8:42 Vehicle breakdown on KJE (towards BKE) after Woodlands Rd Exit. Avoid lane 4.
1582075747,Accident,103.8447333,1.376885937,(19/2)9:20 Accident on Ang Mo Kio Avenue 6 (towards Ang Mo Kio Avenue 5) after Ang Mo Kio Central 2.
1582075747,Vehicle breakdown,103.7523892,1.38915199,(19/2)8:42 Vehicle breakdown on KJE (towards BKE) after Woodlands Rd Exit. Avoid lane 4.
1582075867,Accident,103.8447333,1.376885937,(19/2)9:20 Accident on Ang Mo Kio Avenue 6 (towards Ang Mo Kio Avenue 5) after Ang Mo Kio Central 2.
1582075867,Vehicle breakdown,103.7523892,1.38915199,(19/2)8:42 Vehicle breakdown on KJE (towards BKE) after Woodlands Rd Exit. Avoid lane 4.
1582075987,Accident,103.8447333,1.376885937,(19/2)9:20 Accident on Ang Mo Kio Avenue 6 (towards Ang Mo Kio Avenue 5) after Ang Mo Kio Central 2.
1582075987,Vehicle breakdown,103.7523892,1.38915199,(19/2)8:42 Vehicle breakdown on KJE (towards BKE) after Woodlands Rd Exit. Avoid lane 4.
1582076107,Accident,103.8447333,1.376885937,(19/2)9:20 Accident on Ang Mo Kio Avenue 6 (towards Ang Mo Kio Avenue 5) after Ang Mo Kio Central 2.
1582076107,Vehicle breakdown,103.7523892,1.38915199,(19/2)8:42 Vehicle breakdown on KJE (towards BKE) after Woodlands Rd Exit. Avoid lane 4.
1582076227,Accident,103.8447333,1.376885937,(19/2)9:20 Accident on Ang Mo Kio Avenue 6 (towards Ang Mo Kio Avenue 5) after Ang Mo Kio Central 2.
1582076347,Accident,103.8447333,1.376885937,(19/2)9:20 Accident on Ang Mo Kio Avenue 6 (towards Ang Mo Kio Avenue 5) after Ang Mo Kio Central 2.
1582076467,Accident,103.8447333,1.376885937,(19/2)9:20 Accident on Ang Mo Kio Avenue 6 (towards Ang Mo Kio Avenue 5) after Ang Mo Kio Central 2.
1582076587,Accident,103.8447333,1.376885937,(19/2)9:20 Accident on Ang Mo Kio Avenue 6 (towards Ang Mo Kio Avenue 5) after Ang Mo Kio Central 2.
1582076707,Accident,103.8447333,1.376885937,(19/2)9:20 Accident on Ang Mo Kio Avenue 6 (towards Ang Mo Kio Avenue 5) after Ang Mo Kio Central 2.
